client_id,name,lastname,ID,email,phone,country,city,address,fecha_registro,fecha_nacimiento,genero,estado,canal
CL-00001,Eleuterio,Oller,SIM-6294261N,ediez@example.org,+34 665447871,España,Cáceres,"Paseo de Ana Belén Morante 7, Murcia, 47563",2024-12-25,1961-09-30,Otro,Activo,Web
CL-00002,Haydée,Arenas,SIM-Y1378477H,inocencio89@example.org,+1-809 673928585,Dominican Republic,Ourense,"Callejón Prudencia Amor 918, Córdoba, 27956",2024-05-25,1968-03-03,Femenino,Activo,Web
CL-00003,Carrie,Hansen,SIM-X0120696S,dominique00@example.net,+1 661061904,Canadá,New James,"703 Cross Summit, South Mirandafort, NT L7S3V9",2024-02-28,1960-12-27,Otro,Activo,Tienda física
CL-00004,Juan Pablo,Uría,SIM-Y1264170K,otiliaesteban@example.net,+58 667870118,Venezuela,Cádiz,"Vial de Agustín Cámara 22, La Coruña, 08898",2024-06-27,1953-10-25,Masculino,Activo,Referido
CL-00005,Tristan,Dos Santos,SIM-Y1917515M,lemaitrecolette@example.com,+33 699449270,Francia,Laurent,"90, rue de Lebrun, 35141 Sanchez",2024-10-26,2003-09-20,Femenino,Activo,Web
CL-00006,Omar,Walker,SIM-X0847100X,lauraramirez@example.org,+1 622017406,Canadá,North David,"42597 Scott Walk, Josephland, NT H5B6V9",2025-07-02,1978-04-17,Masculino,Activo,Instagram
CL-00007,Javier,Morales,SIM-X0906732A,pereaesparta@example.com,+52 626143955,México,San Ofelia de la Montaña,"Boulevard Mesa 681 Edif. 907 , Depto. 292, Nueva Tonga, JAL 17701-3038",2023-11-09,1960-03-09,Masculino,Activo,Web
CL-00008,Michael,Spencer,SIM-7684906P,jeffrey40@example.org,+1 600037538,Canadá,Dianetown,"9308 Deborah Trace, Stephanieport, NU L3B 1R7",2024-11-19,1985-05-08,Masculino,Activo,Instagram
CL-00009,José María,Rios,SIM-3171025S,maria-jose30@example.net,+58 690142617,Venezuela,Ciudad,"Cañada Bonifacio Torrecilla 579 Apt. 10 , Teruel, 20327",2024-12-20,1969-04-26,Femenino,Activo,Web
CL-00010,Amílcar,Leal,SIM-4316373D,jose-luisgalvan@example.com,+58 656481103,Venezuela,Castellón,"Ronda de América León 724, Navarra, 51641",2024-08-20,1983-05-29,Masculino,Activo,Referido
CL-00011,Lino,Aramburu,SIM-2681573A,etelvina22@example.org,+1-809 684429655,Dominican Republic,Jaén,"Pasaje de Eladio Alcaraz 608, Lleida, 44026",2025-07-21,1974-11-21,Otro,Activo,Instagram
CL-00012,Dalia,Olivárez,SIM-9133252K,gilberto03@example.com,+52 681789562,México,San Anel de la Montaña,"Circuito Jalisco 251 Edif. 746 , Depto. 515, Nueva Noruega, HGO 28915",2023-12-16,1989-08-06,Otro,Activo,Referido
CL-00013,Leocadio,Gallart,SIM-9883766E,ochoapatricio@example.com,+1-809 645370549,Dominican Republic,Badajoz,"Ronda de Evangelina Agustín 516 Puerta 9 , Ciudad, 22890",2025-06-21,1984-06-29,Femenino,Inactivo,Web
CL-00014,Alexandre,Berthelot,SIM-Z2340315L,guyotjuliette@example.net,+33 630442539,Francia,Saint Louise,"19, rue Claudine Marchand, 72993 Garcia",2024-12-01,1988-01-12,Masculino,Inactivo,Web
CL-00015,Hilda,Koch II,SIM-Y1501773B,fberger@example.net,+49 635222614,Alemania,Werdau,"Mangoldweg 14, 85923 Waren",2024-02-29,1949-10-09,Femenino,Activo,Tienda física
CL-00016,Bernardo,Lara,SIM-X0556754Q,caridad29@example.org,+52 690514564,México,San Cristal los bajos,"Continuación Nuevo León 935 Edif. 290 , Depto. 343, Vieja Vanuatu, MOR 68189-8853",2024-07-19,1978-10-01,Masculino,Activo,Referido
CL-00017,Leo,Scholtz,SIM-Z2730489K,arne96@example.com,+49 671491278,Alemania,Göppingen,"Ignaz-Henck-Straße 7349, 54794 Luckenwalde",2024-08-20,1970-06-14,Femenino,Activo,Web
CL-00018,楠,吴,SIM-Y1924581X,yaoyan@example.com,+86 640252038,China,雪梅县,安徽省芳县南长周街Q座 292196,2023-11-06,1946-01-31,Femenino,Inactivo,Referido
CL-00019,Gabriele,Borghese,SIM-5295549Y,stefanicasellati@example.org,+39 668228251,Italia,Santa Eufemia Lamezia,"Canale Sordi, 8 Appartamento 0, 95127, Picanello (CT)",2025-01-02,1970-06-16,Otro,Activo,Referido
CL-00020,Scott,Tate,SIM-2731699N,taylor61@example.org,+1 673901333,Estados Unidos,Jameston,"374 Blair Crossing, Meganborough, IA 84342",2025-09-12,2007-08-19,Otro,Activo,Instagram
CL-00021,Жанна,Морозов,SIM-7559718D,fadeevladimir@example.com,+7 634843137,Rusia,к. Змеиногорск,"с. Беломорск, ул. Жуковского, д. 91, 325875",2024-10-03,1973-02-25,Otro,Activo,Web
CL-00022,Joan,Grimes,SIM-X0161134L,jill09@example.com,+1 698130552,Estados Unidos,Lloydchester,"Unit 6460 Box 3836, DPO AA 38714",2024-11-17,1955-04-07,Femenino,Activo,Instagram
CL-00023,Jos,Macías,SIM-X0726084C,flaviovelasco@example.net,+52 616805384,México,Vieja Finlandia,"Ampliación Sur Mena 304 313, San Lorena los bajos, TAMPS 53705",2024-04-28,2000-09-10,Femenino,Activo,Web
CL-00024,Синклитикия,Кулакова,SIM-X0826507W,georgi2021@example.com,+7 629525497,Rusia,с. Оса,"д. Чебоксары, ш. Гоголя, д. 6, 379944",2025-05-18,1983-11-03,Otro,Activo,Web
CL-00025,Evangelista,Montanelli,SIM-Y1156506C,serena62@example.org,+39 696452311,Italia,Cadelbosco Di Sopra,"Rotonda Emilio, 88 Appartamento 1, 87075, Trebisacce (CS)",2024-08-05,1987-11-19,Otro,Activo,Tienda física
CL-00026,Robert,Hughes,SIM-9986889J,nguyencynthia@example.net,+1 668798541,Canadá,Smithside,"182 Jacob Avenue Suite 636, Middletonmouth, PE B9B 1C5",2024-05-07,1979-12-10,Femenino,Activo,Web
CL-00027,花子,松本,SIM-Y1317509T,hiroshiinoue@example.com,+81 693923078,Japón,横浜市戸塚区,茨城県鴨川市池之端13丁目20番3号,2024-12-03,1972-07-27,Otro,Activo,Referido
CL-00028,Ante,Hecker,SIM-2412415Z,hulda95@example.com,+49 626439584,Alemania,Rudolstadt,"Sölzerplatz 70/48, 16434 Wanzleben",2025-03-19,1972-12-15,Otro,Activo,Tienda física
CL-00029,Joseph,Davis,SIM-9462326B,wgomez@example.org,+1 605804608,Estados Unidos,Port Lisachester,"0415 Johnson Via, Lake Mary, ND 89800",2023-12-14,1990-09-20,Masculino,Inactivo,Tienda física
CL-00030,Maria Luísa,Câmara,SIM-Z2507718M,casa-grandecaroline@example.net,+55 676840666,Brasil,Pastor Verde,"Vila Lucas Gomes, 6, Universitário, 84113-369 Azevedo Paulista / RO",2024-02-07,1978-09-07,Otro,Activo,Instagram
CL-00031,Mirta,Sales,SIM-8597999R,macarena17@example.net,+58 698399069,Venezuela,Zaragoza,"Via Pastor Ugarte 6, Murcia, 31290",2025-08-25,1999-07-02,Femenino,Inactivo,Referido
CL-00032,Barbara,Wolf,SIM-6488929P,jdiaz@example.net,+1 679363007,Estados Unidos,Lake David,"71650 Jane Pike, Stephanieborough, OR 09206",2024-05-09,1991-01-21,Femenino,Suspendido,Tienda física
CL-00033,Corinne,Gonzalez,SIM-X0539581R,matthieu67@example.org,+33 655952659,Francia,Guillon,"689, rue Riou, 81458 Turpin-les-Bains",2025-01-20,1979-11-27,Otro,Activo,Web
CL-00034,Nicholas,Olsen,SIM-9332220Q,guerreroandrew@example.net,+1 665507029,Canadá,Mcintoshfurt,"957 Anthony Corners, Port Anna, MB T7S8S3",2024-03-10,2007-07-10,Femenino,Activo,Instagram
CL-00035,Daria,Scarpa,SIM-Y1151022X,ornella59@example.com,+39 665195752,Italia,Ponte A Giogoli,"Vicolo Binaghi, 315, 63824, Altidona (FM)",2023-12-27,1945-08-02,Masculino,Activo,Web
CL-00036,Manolo,Azcona,SIM-Z2584096T,diananevado@example.org,+1-809 685669768,Dominican Republic,Madrid,"Ronda Emperatriz Navarro 63 Piso 3 , Almería, 28853",2025-07-02,1960-01-17,Femenino,Activo,Web
