client_id,nombre,email,telefono,genero,fecha_registro
CL-00001,Viviana Beatriz Sanmiguel Jordá,lauravalero@example.com,1497799228898,Femenino,2024-12-12
CL-00002,Dolores Daniela Expósito Llabrés,vicenteeliana@example.net,5210701707033,Masculino,2025-02-05
cl_00003,Roberta Tirado Isern,obenavides@example.org,7376132102196,Masculino,2024-06-21
cl_00004,Olalla Pla Cuevas,tarroyo@example.org,9494285473382,Masculino,2024-09-11
CL-00005,Miriam Ángel,onofre17@example.net,6755340992831,Masculino,2023-09-08
CL-00006,Casemiro Nevado-Sosa,viviana19@example.net,2721999144484,Femenino,2024-07-09
cl_00007,Eutropio Colom Escolano,isabel61@example.com,5057385121215,Masculino,2024-07-28
CL-00008,Gabino José Manuel Díaz González,alvaroarmida@example.net,7028093938815,fem,2024-02-26
CL-00009,Eva Solís-Canet,ctudela@example.com,4805225294612,Masculino,2025-04-24
cl_00010,Galo de Yáñez,correo@.com,2713118034265,Masculino,2023-09-30
cl_00011,Pepita Olmo Terrón,salfaro@example.net,1888362174173,Femenino,2024-06-03
CL-00012,Hugo Tomé Vigil,brunilda89@example.net,123456,Femenino,2025-02-01
CL-00013,Aurora Pino Blázquez,amoteobaldo@example.com,5493220169418,Femenino,2025-07-06
CL-00014,Marino Ricart Abellán,berrocalantonia@example.org,7754376883567,Masculino,2023-09-07
CL-00015,123,ale51@example.net,7975345909876,Masculino,2025-08-22
CL-00016,Rosenda Arellano Alberto,pmoles@example.com,0968281990972,M,2025-05-14
CL-00017,Teresa del Niño,hipolito26@example.org,5934016317333,Femenino,2025-07-17
CL-00018,Óscar Estrada,fernandezsandalio@example.net,3771796526089,Femenino,
CL-00019,Juanita Soto Folch,doloresbarroso@example.org,8920333247764,Femenino,2024-05-11
CL-00020,Gisela Macías Sánchez,correo@.com,4398896374574,Femenino,2024-01-18
CL-00021,Diana de Noriega,rosalva09@example.net,2781846279407,Femenino,2025-01-26
CL-00022,Gervasio Franch Rey,quesadalalo@example.org,0405771328049,Femenino,2025-03-04
CL-00023,Raúl Aparicio Muro,celso28@example.org,6108782620723,Femenino,2025-07-07
CL-00024,Daniela Consuela Ferreras Benavent,miguel-angel70@example.net,6-123-456,Desconocido,2025-02-27
cl_00025,Pedro del Múgica,juan-josegordillo@example.net,0644257912371,Masculino,2024-03-27
CL-00026,Victor Manuel Romero Palma,utrujillo@example.net,1448468716600,Femenino,2024-11-01
cl_00027,Dolores Peinado Casanovas,felix13@example.com,8688156186103,Femenino,2024-01-22
CL-00028,Horacio Jaén Hervia,valenzuelaaraceli@example.org,8917321270256,Masculino,2023-12-07
CL-00029,Ainoa Domínguez Nogués,carinaangulo@example.org,6461335426495,Femenino,2024-02-22
cl_00030,123,pintoivan@example.net,4716132050028,Masculino,2025-03-25
CL-00031,Silvestre Rodríguez-Vidal,vandres@example.org,6269694552390,Masculino,2025-04-17
CL-00032,Enrique Alemán Pelayo,elba14@example.net,4570850384764,M,2023-10-10
CL-00033,Luciano Beltran-Lillo,luis-miguelsolis@example.com,3929684602544,Masculino,2024-02-23
CL-00034,Clotilde de Pagès,maristela46@example.com,3350595018339,Masculino,2024-11-02
cl_00035,Jordana Paredes Benavent,xjerez@example.com,2987069374575,Femenino,2025-06-22
CL-00036,Evaristo Rivera,porfirio19@example.net,+34816233002,Masculino,2024-02-29
CL-00037,Josefina Romeu Palomar,javieraalfonso@example.com,4655473683017,Femenino,2024-05-15
CL-00038,Natalio Teodosio Perea Bayo,hrosado@example.net,8947185868571,Masculino,2024-09-20
cl_00039,Angelita Romeu Tena,zgalan@example.org,4999397100715,Femenino,2025-03-08
,Haydée Mena Lumbreras,@gmail.com,5793080926001,Femenino,2025-04-05
cl_00041,Brunilda de Carpio,holive@example.net,9677439293677,Masculino,2024-11-29
cl_00042,Octavia Sevilla Tudela,curro44@example.org,9204194344296,Femenino,2025-08-28
CL-00043,Odalys Nogueira-Elías,jose-luis46@example.net,2204853795594,Femenino,2023-08-30
cl_00044,Rebeca Acosta Aguado,eustaquiomarino@example.com,1500014072590,Femenino,2025-04-30
CL-00045,Lalo Adán Moll,felixbenito@example.org,5511221366114,Femenino,2024-11-19
CL-00046,José Mari Santana Tormo,yduarte@example.com,9583105648144,Masculino,2024-01-23
CL-00047,Buenaventura Robles Jódar,baldomero62@example.net,0823027085741,Femenino,2024-12-02
CL-00048,Melchor Cuadrado Ferreras,merche17@example.net,61234abc,M,2024-01-15
cl_00049,Cruz Pol Correa,posadapaco@example.com,3400832173454,Femenino,2025-03-12
CL-00050,Felicidad Martinez Novoa,,2418326785165,Masculino,2024-08-11
CL-00051,Samu del Cabanillas,qgonzalez@example.org,1727044700259,Masculino,2025-08-14
CL-00052,Fabiana Cornejo Miranda,wlago@example.net,3662645829549,Masculino,2024-12-15
CL-00053,Jaime Talavera Cózar,amaro88@example.org,7621963624231,Femenino,2023-12-09
cl_00054,Lupe Alcalá Llabrés,ghervas@example.net,4212299208250,Femenino,
CL-00055,Almudena Luís Martínez,llanosismael@example.org,5660426138319,Femenino,2023-10-16
cl_00056,José Luis Santamaria Villena,candela93@example.com,6554546455783,M,2024-06-20
CL-00057,Trini Juárez Solano,sdiez@example.net,8778555975638,Femenino,2025-04-14
cl_00058,Jose Miguel Díez-Cabrera,ciriacocasas@example.com,2929395503209,Femenino,2025-04-15
CL-00059,Wálter Barón Carbajo,perlagimenez@example.org,3494619256932,Femenino,2024-08-20
cl_00060,Felicia Cabanillas Caballero,,6-123-456,Masculino,2024-05-24
cl_00061,Sabas Esteban Vilanova,federico70@example.net,5922319520030,Masculino,2025-08-25
cl_00062,Quique Inocencio Lucas Jara,dionisiavargas@example.com,6580612065858,Femenino,2025-02-18
CL-00063,Ramón Moll Valentín,tespana@example.com,8581558667053,Femenino,2024-07-11
CL-00064,Alonso Beltrán Sola,nmas@example.net,6512796524554,fem,2025-06-22
CL-00065,Jonatan Carreras Nuñez,ltapia@example.org,2272638273054,Femenino,2024-09-14
CL-00066,Benito Abella Montero,jose-manuelvalle@example.com,0649854983807,Femenino,2023-09-11
CL-00067,Rosario Bernat Requena,qayuso@example.org,3266107817557,Femenino,2025-07-11
CL-00068,Roxana León Sevilla,guadalupe86@example.net,8558437552069,Femenino,2025-04-15
CL-00069,Azahara Baquero Castrillo,salvador81@example.com,4592911618228,Femenino,2023-12-03
CL-00070,Raimundo Yuste Verdú,@gmail.com,9529804443230,Femenino,2023-10-18
CL-00071,Marcial Araujo Benito,odalislamas@example.org,9071214677079,Femenino,2025-04-06
CL-00072,Vito Izquierdo,vcozar@example.com,+34984589021,fem,2026-01-01
cl_00073,Narcisa Prado-Soria,solanolilia@example.org,7256336381688,Femenino,2024-04-16
cl_00074,Joaquina Prieto Pons,gimenezhilario@example.org,1566506460221,Masculino,2024-08-13
CL-00075,Baltasar Llano,anabel84@example.net,2305354835185,Masculino,2024-02-20
CL-00076,Dafne Ros-Olmo,paula44@example.org,9353857370974,Masculino,2025-01-12
CL-00077,Valero Ariel Martinez Estévez,zgonzalez@example.org,3282654765737,Masculino,2023-12-14
cl_00078,Azahar Gracia Garcés,aitana71@example.com,0733275438516,Femenino,2025-05-16
CL-00079,Dafne Leticia Dueñas Cortés,ferrandezambrosio@example.com,0883593508096,Femenino,2024-01-25
cl_00080,Rosendo Mariano Zabaleta Quero,flaviafolch@example.com,6737845720585,M,2025-03-26
CL-00081,Chuy Vall Bayo,lquerol@example.com,8446509639421,Masculino,2025-02-20
CL-00082,Jerónimo Tejedor Briones,kolmedo@example.net,8308217611209,Masculino,2024-06-22
CL-00083,Olivia del Bauzà,pnevado@example.net,8909077608142,Femenino,2024-01-26
CL-00084,Celestina Águeda Carmona Huguet,adrian71@example.org,61234abc,Femenino,2024-09-10
CL-00085,Vicenta Barragán Iglesias,ruben66@example.com,6246271428931,Femenino,2024-01-11
cl_00086,Patricio Real,ccuellar@example.org,2754227604906,Femenino,2024-05-01
CL-00087,Florentino Leopoldo Vives Mariscal,yiriarte@example.net,3535391814060,Femenino,2024-09-04
CL-00088,Julie Luz Agudo Vara,leonor72@example.com,4926918844356,M,2024-02-15
CL-00089,Estela Moreno-Terrón,penalverseverino@example.com,8501138745695,Masculino,2025-03-14
cl_00090,@Oliver,,2394876707644,Femenino,2026-01-01
cl_00091,Nilda Tejero Leon,francisca20@example.org,0150694375822,Masculino,2023-12-21
cl_00092,Heraclio Pazos Sainz,morcilloflora@example.net,0533416795689,Femenino,2025-02-21
cl_00093,Pablo Villena Pera,grasamancio@example.net,3170192004820,Femenino,2025-05-25
