client_id,nombre,email,telefono,genero,fecha_registro,registro_valido
CL-00001,Francisco Jose Polo-Chacón,zperal@example.com,2487726929797,Masculino,2024-11-23,True
CL-10000,Valeria del Ayuso,amarilisiglesias@example.com,6303239472371,Masculino,2024-08-14,True
CL-00003,Mario Castell Pomares,leonordiego@example.net,6676115645298,Masculino,2025-08-06,True
CL-00004,Hortensia de Jurado,zmoll@example.org,3170204932752,Femenino,2023-12-11,True
CL-00005,Marcia Leocadia Casas Lillo,clara50@example.net,1035778336688,Femenino,2024-04-28,True
CL-00006,Toribio Escrivá Cortés,gquiros@example.net,2475869466401,Femenino,2024-04-09,True
CL-00007,Miguela Ayuso Castejón,florinasalcedo@example.net,1153447353383,Femenino,2025-02-03,True
CL-00008,Chuy Llanos Rodrigo,pbatlle@example.com,0907559945199,Femenino,2024-02-12,True
CL-00009,Reina Tomás-Torre,ximena25@example.com,2489846546653,Femenino,2024-12-05,True
CL-00011,Jose Carlos de Arjona,rcifuentes@example.net,3274102512844,Masculino,2024-05-21,True
CL-00012,Bernardino Hierro Agustín,jessica43@example.org,34845874709,Masculino,2025-06-13,True
CL-10002,Emma Ortuño Salazar,adoracionpallares@example.com,0980034049885,Masculino,2024-10-29,True
CL-10003,Feliciana Encarnación Bellido Lucena,poloreyes@example.net,2448305172830,Masculino,2025-01-30,True
CL-00015,Sergio Andrés Uribe Delgado,grastrinidad@example.org,0103456094046,Masculino,2025-08-09,True
CL-00017,Maxi del Merino,carlota33@example.org,6652717474844,Femenino,2024-06-02,True
CL-00018,Gervasio Cáceres,mercheespada@example.net,4585745967458,Femenino,2025-04-07,True
CL-00019,Socorro Riba Torrents,jordan45@example.org,6571627734512,Masculino,2024-03-01,True
CL-00020,Máxima Sancho Seco,amado18@example.org,4700440475969,Masculino,2025-04-09,True
CL-10004,Adelia Sevillano Campo,sconesa@example.com,8519848762081,Masculino,2025-06-21,True
CL-00022,Elena del Royo,yquintero@example.net,4713789637450,Masculino,2024-06-10,True
CL-00023,Concepción Garmendia Fiol,consuelo15@example.com,1511614895887,Masculino,2023-11-19,True
CL-00025,Serafina Tormo Enríquez,barbaracasares@example.net,4227208610902,Masculino,2024-08-21,True
CL-00026,Flavio Mancebo,ursulabustos@example.com,8715378598210,Masculino,2024-11-28,True
CL-00027,Lisandro Palacio Fuertes,celia65@example.org,7428328520589,Femenino,2024-11-26,True
CL-00028,Bernabé Collado Cuesta,naciogaliano@example.net,3238903977404,Femenino,2024-03-22,True
CL-00029,Leonel Acedo Olivé,ambarribera@example.com,3199804501687,Femenino,2023-12-26,True
CL-00031,Baudelio del Grau,castellanosmaria@example.com,1814647367768,Masculino,2024-04-10,True
CL-00033,Agustina Guiomar Amaya Otero,maximo16@example.net,7820334903074,Femenino,2024-08-02,True
CL-00034,Benjamín Castillo Castellanos,zgomila@example.com,5344693176207,Femenino,2024-01-04,True
CL-00035,Buenaventura Amorós Barros,esteban57@example.com,8437599020837,Masculino,2024-07-26,True
CL-00037,Alcides Víctor Duran Aguilera,tiradoheriberto@example.com,9221614405424,Masculino,2024-10-21,True
CL-10006,Magdalena Rosales Olivares,iperales@example.com,8226485710939,Femenino,2025-06-30,True
CL-00039,Maura Amor Lozano,ybatlle@example.net,3400012665843,Femenino,2024-01-27,True
CL-00041,Chuy Villanueva Guijarro,cosme00@example.net,8011373688303,Masculino,2025-03-29,True
CL-00042,Gilberto Riquelme Cabanillas,joseferrero@example.org,8529374512170,Femenino,2023-11-18,True
CL-10008,Lola Isa Jove Tejero,vicentaaraujo@example.net,3018707369425,Femenino,2025-08-19,True
CL-10009,Maricruz Mayo Comas,navarroeutropio@example.org,8845960697470,Femenino,2025-02-01,True
CL-00045,123,esterreyes@example.com,0433159763721,Femenino,2024-01-16,True
CL-10010,Iris Girón Blanch,julialucia@example.com,1550667239393,Femenino,2024-04-06,True
CL-00047,Paloma Bru Valbuena,noe51@example.org,5081717929241,Femenino,2024-04-04,True
CL-00048,Ciriaco Llobet León,asuncion21@example.net,34881229049,Masculino,2024-10-15,True
CL-10011,Ágata de Pereira,bocana@example.net,3141649940581,Femenino,2023-10-06,True
CL-00050,Poncio Folch-Álvarez,ester69@example.org,6299699425198,Masculino,2024-06-19,True
CL-00051,Débora Cerro-Casares,sacristanflora@example.net,1199982970357,Masculino,2024-05-31,True
CL-00052,Marino Lasa Ferrando,porfiriobaena@example.com,4361941645714,Masculino,2024-08-07,True
CL-10012,Carolina Porcel Acosta,angulocelestino@example.com,1364575318208,Masculino,2025-07-06,True
CL-00054,Eduardo Simó Lago,landabaltasar@example.net,2063862307312,Femenino,2026-01-01,True
CL-00055,Edu Bonilla Manzanares,herviapalmira@example.net,8007252231755,Masculino,2025-05-18,True
CL-00057,Alejandro Ibarra,lazarojauregui@example.net,8413852891211,Masculino,2024-10-22,True
CL-00058,Victoriano Valero Iglesias,vriera@example.com,9036707330729,Femenino,2024-02-28,True
CL-00059,Dorotea Carrasco Gonzalo,fpena@example.net,3672849645145,Masculino,2025-03-13,True
CL-10014,Concha Genoveva Vila Cortes,melaniaarnaiz@example.org,8255777290719,Femenino,2024-07-31,True
CL-00062,Jordana Tolosa-Escalona,emilia61@example.com,0240562789894,Femenino,2024-03-11,True
CL-10015,Candelas Pallarès Exposito,zaida60@example.com,1778543486191,Masculino,2024-06-03,True
CL-00065,Rosalva Pedrosa Acosta,gmatas@example.net,9795686861450,Femenino,2024-10-14,True
CL-00066,Jenny Casas Aramburu,xavier00@example.org,2203327312650,Masculino,2025-03-13,True
CL-10016,Gala Lupe Iglesia Casals,yessica90@example.com,6797785356088,Femenino,2023-12-16,True
CL-10017,Casemiro del Ros,ramondolores@example.org,3013854150231,Femenino,2024-05-06,True
CL-00069,Renata Mora,velezjose-ignacio@example.com,6667599354599,Masculino,2024-11-06,True
CL-00071,Ani del Alberdi,riossilvio@example.org,6498996346126,Femenino,2024-05-24,True
CL-00073,Dalila Ochoa,herminio80@example.com,9297348179565,Masculino,2025-04-15,True
CL-00074,Américo Roldán Calvo,diana05@example.com,5099715274194,Masculino,2024-01-24,True
CL-10019,,isidoro67@example.com,7698355687117,Femenino,2025-07-09,True
CL-00076,Judith Martinez Berrocal,nerea68@example.com,0377382442060,Femenino,2024-05-18,True
CL-00077,Celestina Manrique Cañete,sedanolupe@example.org,8306610095972,Masculino,2024-12-09,True
CL-00078,Juan Manuel Montesinos Bárcena,carballocasandra@example.org,8268517045811,Masculino,2024-07-31,True
CL-00079,Martina Manjón-Portillo,martirio73@example.com,7540531237628,Femenino,2024-11-26,True
