client_id,nombre,email,telefono,genero,fecha_registro,registro_valido,motivo_descarte
CL-10001,Bonifacio Caballero Solano,correo@.com,2680448995876,Femenino,2024-10-07,False,Email inválido
CL-00016,Nico Samu Corbacho Escribano,amadorinocencio@example.org,5851515463034,No especificado,2024-08-19,False,Género inválido
CL-10005,María Luisa Catalán Hervás,mariano73@example.net,,No especificado,2025-06-10,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00030,@Oliver,@gmail.com,9796171935586,Femenino,2024-02-09,False,Email inválido
CL-00032,Manuelita Mendoza Cornejo,angulobernardita@example.com,5405530193914,No especificado,2023-11-18,False,Género inválido
CL-00036,Encarna Natalia Borrell Hervia,odalys69@example.org,,Femenino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10007,Raquel Nevado Arana,correo@.com,7813161947990,No especificado,2025-04-23,False,"Email inválido, Género inválido"
CL-00056,Florentina García Torres,angelitanoguera@example.com,6982277435120,No especificado,2024-11-01,False,Género inválido
CL-10013,123,correo@.com,,Femenino,2024-09-28,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-00064,Armida Azcona Vega,eduardovicens@example.net,2029697045058,No especificado,2024-06-01,False,Género inválido
CL-00070,Osvaldo Gil,,7874496468933,Femenino,2023-11-30,False,Email inválido
CL-10018,Ciríaco Berenguer,nhernandez@example.net,,Femenino,2025-04-21,False,"Teléfono inválido, Teléfono ausente"
CL-10020,Evelia Enríquez,,6582851075995,No especificado,2024-05-29,False,"Email inválido, Género inválido"
CL-00084,Herminia Escrivá Andrés,dimas18@example.net,,Masculino,2024-05-26,False,"Teléfono inválido, Teléfono ausente"
CL-00088,Pili de Vergara,macarena88@example.org,4448669686212,No especificado,2024-11-24,False,Género inválido
CL-00090,Ariadna del Pagès,correo@.com,8222491735884,Femenino,2026-01-01,False,Email inválido
CL-00096,Luciano Ferrández Soriano,eleuterio42@example.org,,No especificado,2024-02-04,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10025,Toribio Llamas Escamilla,,7587575340704,Femenino,2024-04-18,False,Email inválido
CL-00104,Héctor Demetrio Ferrán Borrell,andres-felipe37@example.net,4540980087197,No especificado,2025-02-06,False,Género inválido
CL-00108,Sol Francisco Calderon,rcarretero@example.net,,Femenino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-00112,América Blasco Bustos,taguilo@example.net,3860546171228,No especificado,2024-09-08,False,Género inválido
CL-10031,123,,34975995327,Masculino,2024-02-18,False,Email inválido
CL-00128,Agustina Laguna Flores,nicoexposito@example.org,8408306647903,No especificado,2025-06-02,False,Género inválido
CL-00130,Modesta Pujol Vergara,correo@.com,3622722537256,Femenino,2023-09-03,False,Email inválido
CL-00132,Jacinta Perez Baquero,leyre04@example.com,,Masculino,2024-10-06,False,"Teléfono inválido, Teléfono ausente"
CL-00140,Dan Aguilar Garay,,1295404765970,Masculino,2025-03-31,False,Email inválido
CL-00144,Angelina Villena Marco,eamor@example.com,34873975214,No especificado,2026-01-01,False,Género inválido
CL-00150,@Oliver,correo@.com,3756527359589,Femenino,2024-01-25,False,Email inválido
CL-00152,Lucía de Fernández,patinoani@example.com,2099075335671,No especificado,2025-04-15,False,Género inválido
CL-10035,Isa Rosado-Viñas,pinedavalero@example.com,,Masculino,2024-09-14,False,"Teléfono inválido, Teléfono ausente"
CL-10036,Luis Ángel Pedro,saavedrapancho@example.net,9779227581533,No especificado,2024-02-17,False,Género inválido
CL-10041,Elena Luz Higueras,inigo97@example.com,34943558370,No especificado,2025-04-14,False,Género inválido
CL-10043,Jose Carlos Aguiló González,,9412088825101,Masculino,2023-12-25,False,Email inválido
CL-00176,Pepito Riquelme Roca,vinicio99@example.com,0741646655278,No especificado,2024-11-16,False,Género inválido
CL-10047,123,sebastianarsenio@example.com,,Femenino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-00184,Jose Angel Benjamín Lillo Berrocal,hipolito14@example.org,1589634626507,No especificado,2024-06-20,False,Género inválido
CL-00190,Anita del Cámara,@gmail.com,4320363167827,Femenino,2025-04-26,False,Email inválido
CL-00200,Elvira Catalán Montesinos,,7814673729194,No especificado,2024-10-19,False,"Email inválido, Género inválido"
CL-10054,José Luis Bayona Busquets,mauricio58@example.org,,Femenino,2024-08-17,False,"Teléfono inválido, Teléfono ausente"
CL-00216,Ámbar de Solís,zorrillahilda@example.org,,Femenino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10060,Arsenio Barbero Gomila,marcarrion@example.com,9124758805005,No especificado,2024-08-09,False,Género inválido
CL-00230,Brígida Campos Espada,@gmail.com,2550585943794,Masculino,2025-06-20,False,Email inválido
CL-10062,Abraham Español Mínguez,ricardoripoll@example.org,9326997127320,No especificado,2025-06-12,False,Género inválido
CL-10064,@Oliver,,,Femenino,2023-11-04,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-10072,Matías Bustamante Carbó,@gmail.com,2333034043965,Masculino,2025-07-18,False,Email inválido
CL-00264,Espiridión Torres Blanes,egamez@example.net,,No especificado,2024-06-30,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00270,,correo@.com,1256365739603,Masculino,2023-11-30,False,Email inválido
CL-00288,Chus Tenorio Valera,guzmancrescencia@example.org,,No especificado,2026-01-01,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10084,Vilma Casas Pastor,@gmail.com,1022977551799,Masculino,2024-05-06,False,Email inválido
CL-10085,Violeta Carmen Ochoa Trujillo,bsegura@example.net,9806896909864,No especificado,2025-04-12,False,Género inválido
CL-10087,Imelda Carlos Izaguirre,,,Femenino,2024-05-12,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-10091,Flavio de Julián,,4365058148419,Masculino,2023-11-03,False,Email inválido
CL-00312,Darío Ayuso Morillo,jordibelda@example.net,,Masculino,2024-12-22,False,"Teléfono inválido, Teléfono ausente"
CL-10095,Vilma de Montoya,correo@.com,2553259359647,No especificado,2024-02-19,False,"Email inválido, Género inválido"
CL-10098,Estrella González Riba,noeliacoll@example.org,,Masculino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10100,Adela Arteaga Anglada,jeremias67@example.net,7733907871386,No especificado,2024-08-10,False,Género inválido
CL-00330,Jorge Tovar Torrent,,3338989408384,Femenino,2023-11-24,False,Email inválido
CL-00336,Águeda Manjón-Grau,omar66@example.net,34820143796,No especificado,2024-10-14,False,Género inválido
CL-10102,Che Amor Cortés,@gmail.com,7391657038235,Femenino,2024-03-19,False,Email inválido
CL-10103,Odalys Marí Zamorano,kbaron@example.com,6040655160040,No especificado,2025-01-02,False,Género inválido
CL-00350,Jose Ramón Rico Galiano,@gmail.com,0685707786863,Femenino,2024-09-21,False,Email inválido
CL-00352,Manuela Plaza Cantón,zbosch@example.org,0124653227786,No especificado,2024-02-17,False,Género inválido
CL-10111,123,,,Masculino,2024-06-19,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-00368,Andrea Roca,ibellido@example.org,5312525228272,No especificado,2024-09-09,False,Género inválido
CL-00370,Angélica Diez-Corominas,,1991190455864,Femenino,2024-07-31,False,Email inválido
CL-00372,Isaías Bustamante Olivé,almudena41@example.net,,Masculino,2025-06-22,False,"Teléfono inválido, Teléfono ausente"
CL-00380,Manuelita Valentín Varela,,5024045805427,Masculino,2025-07-30,False,Email inválido
CL-00384,Primitivo Capdevila Tejada,maria-fernanda19@example.org,,No especificado,2023-11-24,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00390,Lupe Guitart Gomez,,7177086597548,Masculino,2025-02-26,False,Email inválido
CL-00396,Marita del Miró,quirinorovira@example.com,,Femenino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-00400,Manu Folch Yuste,correo@.com,0022328505293,Masculino,2023-10-22,False,Email inválido
CL-00408,Victoriano del Rosselló,viviana62@example.com,,No especificado,2024-04-19,False,"Teléfono inválido, Género inválido, Teléfono ausente"
