client_id,name,lastname,ID,email,phone,country,city,address,fecha_registro,fecha_nacimiento,genero,estado,canal
CL-00001,Rembrandt,Staglieno,SIM-X0864774C,calbosergius@example.com,+39-330050259,Italia,Grancia,"Contrada Pizzamano, 34 Piano 7, 18019, Vallecrosia (IM)",2024-08-16,1973-11-13,Otro,Activo,Instagram
CL-00002,Парфен,Копылова,SIM-1941347D,trifonlebedev@example.org,+7-888070075,Rusia,п. Яхрома,"ст. Нарым, алл. Шахтерская, д. 92 стр. 898, 652221",2024-09-12,1969-09-30,Masculino,Inactivo,Instagram
CL-00003,Eric,Canales,SIM-3938699H,ade-leon@example.com,+52-424756099,México,Vieja Dominicana,"Viaducto Gabón 176 Interior 793, San Zoé de la Montaña, NAY 39081",2024-02-14,1988-04-28,Femenino,Activo,Instagram
CL-00004,Wilfredo,Azcona,SIM-X0960520V,erasmoleon@example.com,+58-915727277,Venezuela,Guadalajara,"Callejón Amelia Carvajal 86 Apt. 61 , Guipúzcoa, 03411",2025-03-31,1948-01-03,Otro,Activo,Tienda física
CL-00005,Noah,Tran,SIM-3643960R,barronhannah@example.com,+1-296901537,Estados Unidos,West Shannonfort,"34995 Todd Grove, South Patricia, NY 35686",2023-11-17,1962-03-22,Masculino,Activo,Referido
CL-00006,亮介,小林,SIM-Z2195649T,ryohei96@example.net,+81-117316490,Japón,三鷹市,奈良県印旛郡印旛村西関宿8丁目12番13号 土沢シティ734,2024-09-08,1960-12-15,Femenino,Inactivo,Instagram
CL-00007,幹,佐藤,SIM-Y1926123B,wyamashita@example.org,+81-353549009,Japón,八街市,群馬県西東京市入谷4丁目3番9号,2024-12-08,1966-07-23,Femenino,Activo,Tienda física
CL-00008,Ювеналий,Титов,SIM-X0445172F,harlampi27@example.org,+7-237974639,Rusia,к. Андреаполь,"к. Катайск, ш. Кошевого, д. 2 стр. 18, 171820",2024-01-08,1958-10-30,Masculino,Suspendido,Web
CL-00009,治,阿部,SIM-9321706J,naoto08@example.org,+81-725911450,Japón,鴨川市,愛知県小金井市鳥越13丁目20番16号 白金台パレス868,2024-11-11,1951-06-23,Femenino,Activo,Instagram
CL-00010,Concepción,Isern,SIM-7006736Q,ayalajose@example.net,+1-809-262382630,Dominican Republic,Albacete,"Plaza Modesta Iñiguez 1 Puerta 1 , Badajoz, 29925",2025-07-26,1947-04-19,Masculino,Activo,Referido
CL-00011,Charles,Lopez,SIM-Z2369427J,epasquier@example.net,+33-238494340,Francia,Gomez-sur-Mer,"887, rue Hortense Pierre, 31607 AllainVille",2025-02-26,1951-03-20,Masculino,Inactivo,Instagram
CL-00012,Teobaldo,Pedrero,SIM-3734587P,leandra88@example.net,+58-890090490,Venezuela,Segovia,"C. Glauco Gómez 50 Apt. 26 , Melilla, 47628",2024-03-05,2001-08-23,Masculino,Activo,Tienda física
CL-00013,淳,村上,SIM-Z2118679B,fsaito@example.net,+81-679364535,Japón,浦安市,福岡県大田区蔵前39丁目10番12号 シャルム睦065,2024-08-16,1994-06-28,Otro,Activo,Web
CL-00014,Kevin,da Luz,SIM-X0927522R,gabriela27@example.org,+55-797318664,Brasil,Guerra Paulista,"Pátio de Cavalcante, 25, Califórnia, 47162-306 Vargas / AL",2024-02-14,1969-07-31,Femenino,Suspendido,Tienda física
CL-00015,Stephanie,Bray,SIM-Z2835043V,hallkenneth@example.org,+1-809616857,Canadá,Port Carol,"14916 Simmons Ramp, West Stephenberg, AB H2L 3C6",2024-12-15,1970-10-22,Otro,Activo,Instagram
CL-00016,Harry,Bush,SIM-X0170158G,rhonda86@example.net,+1-849496221,Estados Unidos,Lake Carol,"88426 Cynthia Canyon, Jessicafort, MO 03580",2024-05-26,1993-05-15,Otro,Activo,Web
CL-00017,Irene,Bellido,SIM-4752005K,eduardosanz@example.net,+58-894101209,Venezuela,Girona,"Plaza Guillermo Perera 2, Ourense, 09775",2024-12-08,1991-10-16,Femenino,Inactivo,Referido
