employee_id,branch_id,nombre,rol,horario,salario_base,horas_extras,status,vacaciones_restantes,fecha_ingreso,fecha_egreso
E-000001,BR-00001,Christopher Garrett,Manager,"Lunes a Viernes, 9:00–18:00",2634,18,Activo,14,2025-03-05,
E-000002,BR-00001,Dylan Baxter,Sub Manager,"Lunes a Viernes, 9:00–18:00",1857,14,Activo,13,2025-04-11,
E-000003,BR-00001,Michael Sparks,Vendedor,"Todos los días, 8:00–22:00",1448,7,Activo,7,2020-10-22,
E-000004,BR-00001,Russell Jackson,Vendedor,"Lunes a Sábado, 10:00–20:00",1416,3,De baja,21,2023-03-06,2023-08-28
E-000005,BR-00001,Zachary Castaneda,Vendedor,"Martes a Domingo, 11:00–19:00",1567,16,Activo,22,2020-09-03,
E-000006,BR-00001,Olivia Gaines,Vendedor,"Lunes a Sábado, 10:00–20:00",1342,12,Activo,10,2023-06-15,
E-000007,BR-00001,Blake Mitchell,Vendedor,"Lunes a Sábado, 10:00–20:00",1553,0,Activo,12,2022-04-13,
E-000008,BR-00001,Elizabeth Rodriguez,Vendedor,"Lunes a Viernes, 9:00–18:00",1483,19,Activo,20,2022-04-03,
E-000009,BR-00001,Cynthia King,Vendedor,"Lunes a Sábado, 10:00–20:00",1445,2,Activo,12,2022-07-06,
E-000010,BR-00001,Sheila Hickman,Vendedor,"Martes a Domingo, 11:00–19:00",1322,4,Activo,13,2023-02-06,
E-000011,BR-00001,Michael Jackson,Vendedor,"Martes a Domingo, 11:00–19:00",1609,1,Activo,20,2025-03-11,
E-000012,BR-00001,John Garcia,Vendedor,"Lunes a Viernes, 9:00–18:00",1200,7,Activo,14,2022-08-05,
E-000013,BR-00001,Christina Cabrera,Vendedor,"Lunes a Sábado, 10:00–20:00",1783,4,Activo,18,2024-01-08,
E-000014,BR-00001,David Ward,Vendedor,"Lunes a Viernes, 8:30–17:30",1711,13,Activo,15,2025-02-06,
E-000015,BR-00001,Meghan Johnson,Vendedor,"Lunes a Viernes, 8:30–17:30",1426,20,Activo,20,2022-01-30,
E-000016,BR-00001,Christopher Moore,Vendedor,"Martes a Domingo, 11:00–19:00",1450,16,Activo,22,2021-08-15,
E-000017,BR-00001,Evan Fuller,Vendedor,"Lunes a Viernes, 8:30–17:30",1559,6,Activo,18,2024-01-07,
E-000018,BR-00001,Eric Mckay,Vendedor,"Todos los días, 8:00–22:00",1753,17,Activo,13,2024-07-27,
E-000019,BR-00001,Janice Macdonald,Vendedor,"Lunes a Viernes, 9:00–18:00",1441,12,De vacaciones,6,2025-08-04,
E-000020,BR-00001,David Davis,Vendedor,"Lunes a Sábado, 10:00–20:00",1530,4,Activo,8,2025-04-12,
E-000021,BR-00001,Sarah Brown,Vendedor,"Lunes a Viernes, 8:30–17:30",1546,5,Activo,10,2023-09-27,
E-000022,BR-00001,Lee Benson,Vendedor,"Todos los días, 8:00–22:00",1255,15,Activo,10,2025-07-14,
E-000023,BR-00001,Paul Lawrence,Vendedor,"Lunes a Viernes, 8:30–17:30",1635,20,Activo,11,2024-09-09,
E-000024,BR-00001,Oscar Carroll,Vendedor,"Martes a Domingo, 11:00–19:00",1208,1,Activo,13,2024-03-29,
E-000025,BR-00001,William Ramirez,Vendedor,"Martes a Domingo, 11:00–19:00",1414,9,Activo,15,2024-03-09,
E-000026,BR-00001,Ariana Powell,Vendedor,"Lunes a Viernes, 9:00–18:00",1299,3,Activo,20,2022-01-04,
E-000027,BR-00001,Daniel Willis,Vendedor,"Lunes a Sábado, 10:00–20:00",1436,20,Activo,16,2021-02-25,
E-000028,BR-00001,Christopher Garcia,Vendedor,"Lunes a Viernes, 8:30–17:30",1544,1,Activo,15,2021-02-25,
E-000029,BR-00001,Randall Mcdaniel,Vendedor,"Lunes a Viernes, 9:00–18:00",1440,2,Activo,15,2020-10-27,
E-000030,BR-00001,Isaac Rosales,Vendedor,"Lunes a Viernes, 9:00–18:00",1538,0,De baja,9,2025-01-08,2025-05-05
E-000031,BR-00001,Christina Lopez,Vendedor,"Martes a Domingo, 11:00–19:00",1506,0,Activo,10,2024-08-13,
E-000032,BR-00001,Mark Hall,Vendedor,"Lunes a Viernes, 8:30–17:30",1481,20,Activo,9,2024-11-30,
E-000033,BR-00001,Sharon Bailey,Vendedor,"Lunes a Viernes, 9:00–18:00",1768,13,Activo,8,2024-08-09,
