fidelizacion_id,client_id,nivel,puntos_acumulados,beneficios,fecha_ultima_actividad
FD-00001,Brandon Gonzalez,Plata,2461,10% en bebidas y envíos gratis,2025-08-08
FD-00002,David Diaz,Plata,3335,10% en bebidas y envíos gratis,2025-06-20
FD-00003,Renee Benton,Plata,2393,10% en bebidas y envíos gratis,2025-06-06
FD-00004,Francis Hicks,Bronce,777,5% descuento en snacks,2025-08-03
FD-00005,John Quinn,Plata,4644,10% en bebidas y envíos gratis,2025-07-07
FD-00006,Roberta Morales,Plata,3249,10% en bebidas y envíos gratis,2025-06-14
FD-00007,Robert Stewart,Oro,2000,15% en todo + acceso anticipado,2025-06-07
FD-00008,Travis Rich,Bronce,2832,5% descuento en snacks,2025-08-10
FD-00009,Robert Gutierrez,Plata,1329,10% en bebidas y envíos gratis,2025-06-05
FD-00010,Melissa Austin,Plata,4436,10% en bebidas y envíos gratis,2025-07-20
FD-00011,Thomas Rice,Oro,4632,15% en todo + acceso anticipado,2025-08-06
FD-00012,Michael Cooper,Bronce,3171,5% descuento en snacks,2025-07-13
FD-00013,Tara Small MD,Bronce,1077,5% descuento en snacks,2025-06-12
FD-00014,Dennis Arias,Bronce,4450,5% descuento en snacks,2025-08-14
FD-00015,Stephen Harris,Bronce,305,5% descuento en snacks,2025-06-04
FD-00016,Isabella Crawford,Bronce,1606,5% descuento en snacks,2025-07-07
FD-00017,Kurt King,Bronce,4494,5% descuento en snacks,2025-06-06
FD-00018,Debra Nguyen,Bronce,4213,5% descuento en snacks,2025-05-30
FD-00019,Richard Moore,Platino,3854,20% en todo + regalos exclusivos,2025-07-03
FD-00020,Michelle Black,Plata,843,10% en bebidas y envíos gratis,2025-08-08
FD-00021,Patricia Patterson,Plata,4505,10% en bebidas y envíos gratis,2025-05-28
FD-00022,Michelle Santiago,Plata,1551,10% en bebidas y envíos gratis,2025-07-07
FD-00023,Robin Cook,Plata,2682,10% en bebidas y envíos gratis,2025-07-01
FD-00024,Emily Anderson,Bronce,880,5% descuento en snacks,2025-07-10
FD-00025,Sophia Pratt,Oro,864,15% en todo + acceso anticipado,2025-08-07
FD-00026,Leah Smith,Plata,2101,10% en bebidas y envíos gratis,2025-06-13
FD-00027,Brandi Alvarez,Oro,4228,15% en todo + acceso anticipado,2025-06-03
FD-00028,Mrs. Lynn Wood,Plata,3519,10% en bebidas y envíos gratis,2025-08-15
FD-00029,Wanda Smith,Bronce,684,5% descuento en snacks,2025-05-25
FD-00030,Lauren Johnson,Bronce,1200,5% descuento en snacks,2025-08-05
FD-00031,Megan Schneider,Bronce,2450,5% descuento en snacks,2025-06-09
FD-00032,William Lee,Bronce,4579,5% descuento en snacks,2025-08-04
FD-00033,Thomas Roberts,Plata,4929,10% en bebidas y envíos gratis,2025-08-02
FD-00034,Michelle Kim,Plata,1116,10% en bebidas y envíos gratis,2025-08-06
FD-00035,Robert Nichols,Bronce,2968,5% descuento en snacks,2025-07-03
FD-00036,Tiffany Blair,Plata,4523,10% en bebidas y envíos gratis,2025-08-16
FD-00037,Anthony Terry,Bronce,2927,5% descuento en snacks,2025-08-04
FD-00038,Andrew Armstrong,Plata,4686,10% en bebidas y envíos gratis,2025-06-17
FD-00039,Katelyn White,Plata,4669,10% en bebidas y envíos gratis,2025-05-26
FD-00040,Andrew Fleming,Bronce,4127,5% descuento en snacks,2025-06-23
FD-00041,Thomas Murphy,Platino,2963,20% en todo + regalos exclusivos,2025-07-05
FD-00042,Richard Lang,Bronce,2998,5% descuento en snacks,2025-07-09
FD-00043,Ryan Garza,Plata,2502,10% en bebidas y envíos gratis,2025-08-09
FD-00044,Steven Price,Platino,1313,20% en todo + regalos exclusivos,2025-05-28
FD-00045,Jeremy Hernandez,Bronce,1201,5% descuento en snacks,2025-07-10
FD-00046,Mike Hoover,Bronce,3534,5% descuento en snacks,2025-07-10
FD-00047,Todd Salas,Bronce,3471,5% descuento en snacks,2025-06-14
FD-00048,Charles Morton,Plata,2555,10% en bebidas y envíos gratis,2025-05-28
FD-00049,Craig Johnson,Plata,3781,10% en bebidas y envíos gratis,2025-08-02
FD-00050,Joshua Jones,Plata,3819,10% en bebidas y envíos gratis,2025-05-25
FD-00051,Arthur Cameron,Bronce,3774,5% descuento en snacks,2025-06-06
FD-00052,Karen Dawson,Bronce,2530,5% descuento en snacks,2025-08-19
FD-00053,Henry Brown,Bronce,3405,5% descuento en snacks,2025-07-12
FD-00054,Kara Jacobs,Plata,2348,10% en bebidas y envíos gratis,2025-06-20
FD-00055,Connor Evans,Bronce,4230,5% descuento en snacks,2025-07-07
FD-00056,Crystal Woodard,Oro,1677,15% en todo + acceso anticipado,2025-07-01
FD-00057,Bethany Lee,Plata,3239,10% en bebidas y envíos gratis,2025-06-16
FD-00058,Stacey Smith,Bronce,2333,5% descuento en snacks,2025-05-28
FD-00059,Antonio Hamilton,Bronce,1696,5% descuento en snacks,2025-05-25
FD-00060,Natalie Crawford DVM,Bronce,1567,5% descuento en snacks,2025-08-04
FD-00061,Cynthia Schultz,Plata,3210,10% en bebidas y envíos gratis,2025-08-17
FD-00062,Jonathan Riggs,Bronce,1230,5% descuento en snacks,2025-07-21
FD-00063,Rachel Cox,Bronce,1026,5% descuento en snacks,2025-07-10
FD-00064,Jonathan Wheeler,Bronce,2807,5% descuento en snacks,2025-06-09
FD-00065,Nicholas Lyons,Plata,2721,10% en bebidas y envíos gratis,2025-07-07
FD-00066,Anthony Leach,Oro,2076,15% en todo + acceso anticipado,2025-08-17
FD-00067,Roy Jackson,Bronce,1949,5% descuento en snacks,2025-07-06
FD-00068,Melissa Wheeler,Bronce,2357,5% descuento en snacks,2025-07-07
FD-00069,Wendy Harper,Bronce,3166,5% descuento en snacks,2025-06-06
FD-00070,David Whitehead,Bronce,2593,5% descuento en snacks,2025-05-31
FD-00071,Shannon Hill,Bronce,632,5% descuento en snacks,2025-06-25
FD-00072,Erik Ayala,Oro,3739,15% en todo + acceso anticipado,2025-06-17
FD-00073,Patrick Cantrell,Oro,2507,15% en todo + acceso anticipado,2025-07-18
FD-00074,Dylan Alvarado,Plata,4162,10% en bebidas y envíos gratis,2025-06-12
FD-00075,Dawn Meyer,Plata,1547,10% en bebidas y envíos gratis,2025-06-28
FD-00076,Matthew Taylor,Bronce,2572,5% descuento en snacks,2025-08-16
FD-00077,Carrie Saunders,Plata,1810,10% en bebidas y envíos gratis,2025-07-26
FD-00078,Lori Nichols,Plata,4834,10% en bebidas y envíos gratis,2025-08-01
FD-00079,Aaron Lawson,Bronce,1591,5% descuento en snacks,2025-07-07
FD-00080,Beverly Pennington,Bronce,1176,5% descuento en snacks,2025-07-20
FD-00081,Levi Gillespie,Bronce,2973,5% descuento en snacks,2025-07-24
FD-00082,John Garcia,Plata,3548,10% en bebidas y envíos gratis,2025-07-25
FD-00083,Gina Park,Plata,1451,10% en bebidas y envíos gratis,2025-06-20
FD-00084,Christine Berry,Oro,2065,15% en todo + acceso anticipado,2025-08-15
FD-00085,Michelle Cabrera,Bronce,1835,5% descuento en snacks,2025-05-24
FD-00086,Heather Lawson,Platino,1389,20% en todo + regalos exclusivos,2025-05-25
FD-00087,John Butler,Plata,3416,10% en bebidas y envíos gratis,2025-08-02
FD-00088,Kevin Walker,Bronce,1709,5% descuento en snacks,2025-08-20
FD-00089,Carrie Perry,Plata,4865,10% en bebidas y envíos gratis,2025-07-15
FD-00090,Alejandro Watson,Plata,699,10% en bebidas y envíos gratis,2025-06-11
FD-00091,Abigail Marsh,Bronce,2253,5% descuento en snacks,2025-06-29
FD-00092,Oscar Rosales,Bronce,4767,5% descuento en snacks,2025-06-17
FD-00093,Andrea Rojas,Bronce,4373,5% descuento en snacks,2025-08-19
FD-00094,Austin Gonzalez,Plata,3638,10% en bebidas y envíos gratis,2025-07-31
FD-00095,Thomas Robinson,Oro,4654,15% en todo + acceso anticipado,2025-08-19
FD-00096,Ricky Young,Bronce,2365,5% descuento en snacks,2025-06-02
FD-00097,Jessica Franklin,Plata,4945,10% en bebidas y envíos gratis,2025-08-14
FD-00098,Kenneth Howe,Plata,1156,10% en bebidas y envíos gratis,2025-07-20
FD-00099,Amy Simmons,Bronce,1888,5% descuento en snacks,2025-05-23
FD-00100,Patrick Russo,Platino,4956,20% en todo + regalos exclusivos,2025-08-10
FD-00101,Jeremy Herring,Bronce,2454,5% descuento en snacks,2025-06-13
FD-00102,Andrew Brady,Bronce,4730,5% descuento en snacks,2025-08-19
FD-00103,Jon Newman,Bronce,683,5% descuento en snacks,2025-07-02
FD-00104,Troy Bradley,Bronce,530,5% descuento en snacks,2025-07-03
FD-00105,Joyce Webb,Bronce,4067,5% descuento en snacks,2025-08-03
FD-00106,Ashley Flores,Oro,731,15% en todo + acceso anticipado,2025-08-04
FD-00107,Brittany Henderson,Plata,2213,10% en bebidas y envíos gratis,2025-07-26
FD-00108,Clinton Martin,Plata,4922,10% en bebidas y envíos gratis,2025-08-15
FD-00109,James Harvey,Plata,2987,10% en bebidas y envíos gratis,2025-06-21
FD-00110,Chad Crawford,Bronce,4909,5% descuento en snacks,2025-07-01
FD-00111,Tony Johnson,Bronce,1811,5% descuento en snacks,2025-07-05
FD-00112,Elijah Day,Oro,1534,15% en todo + acceso anticipado,2025-06-16
FD-00113,Scott Carey,Bronce,2774,5% descuento en snacks,2025-06-30
FD-00114,Ashley Reid,Oro,4447,15% en todo + acceso anticipado,2025-06-03
FD-00115,Christina Williams,Oro,2785,15% en todo + acceso anticipado,2025-08-13
FD-00116,Donald Ramos,Platino,3839,20% en todo + regalos exclusivos,2025-07-09
FD-00117,Teresa Burgess,Platino,1273,20% en todo + regalos exclusivos,2025-08-13
FD-00118,Calvin Smith,Bronce,4401,5% descuento en snacks,2025-08-06
FD-00119,Mrs. Jennifer Rodriguez,Bronce,4738,5% descuento en snacks,2025-08-02
FD-00120,Todd Crane,Bronce,718,5% descuento en snacks,2025-06-19
FD-00121,Michael Gregory,Oro,3502,15% en todo + acceso anticipado,2025-08-12
FD-00122,Sarah Hanson,Bronce,1738,5% descuento en snacks,2025-05-26
FD-00123,David Ayala,Bronce,2834,5% descuento en snacks,2025-07-17
FD-00124,Samantha Werner,Bronce,2631,5% descuento en snacks,2025-08-12
FD-00125,Garrett Duffy,Plata,2792,10% en bebidas y envíos gratis,2025-07-28
FD-00126,Morgan Bean,Bronce,3568,5% descuento en snacks,2025-08-13
FD-00127,Richard Page,Bronce,373,5% descuento en snacks,2025-06-12
FD-00128,Kathryn Martinez,Bronce,1239,5% descuento en snacks,2025-08-20
FD-00129,George Johnson,Bronce,2973,5% descuento en snacks,2025-06-25
FD-00130,Pam Smith,Plata,701,10% en bebidas y envíos gratis,2025-06-13
FD-00131,Alison Harris,Platino,2166,20% en todo + regalos exclusivos,2025-06-18
FD-00132,Jeremy Welch,Plata,3910,10% en bebidas y envíos gratis,2025-05-23
FD-00133,William Monroe,Plata,3249,10% en bebidas y envíos gratis,2025-05-28
FD-00134,Austin Love,Bronce,2172,5% descuento en snacks,2025-06-23
FD-00135,Keith Miller,Bronce,639,5% descuento en snacks,2025-06-01
FD-00136,Jill Gonzalez,Bronce,1112,5% descuento en snacks,2025-07-11
FD-00137,Bruce Williams MD,Bronce,711,5% descuento en snacks,2025-08-18
FD-00138,Lisa Watson,Bronce,1054,5% descuento en snacks,2025-07-01
FD-00139,Brittney Rosales,Plata,1468,10% en bebidas y envíos gratis,2025-05-25
FD-00140,Thomas Clark,Plata,4814,10% en bebidas y envíos gratis,2025-06-06
FD-00141,Joshua Clark,Bronce,1370,5% descuento en snacks,2025-07-28
FD-00142,Mary Ponce,Plata,3542,10% en bebidas y envíos gratis,2025-07-04
FD-00143,Gregory Davis,Plata,3289,10% en bebidas y envíos gratis,2025-05-23
FD-00144,Edward Brown DVM,Bronce,3528,5% descuento en snacks,2025-07-08
FD-00145,Joseph Hill,Plata,666,10% en bebidas y envíos gratis,2025-07-30
FD-00146,Daniel Acevedo,Bronce,748,5% descuento en snacks,2025-06-12
FD-00147,Taylor Roberson,Bronce,4670,5% descuento en snacks,2025-05-25
FD-00148,Kelsey Garcia,Bronce,363,5% descuento en snacks,2025-07-01
FD-00149,Destiny Francis,Bronce,1688,5% descuento en snacks,2025-07-19
FD-00150,Candice Edwards,Bronce,2932,5% descuento en snacks,2025-08-01
FD-00151,Charles Martin,Plata,3436,10% en bebidas y envíos gratis,2025-07-23
FD-00152,Brian Fernandez,Platino,1318,20% en todo + regalos exclusivos,2025-08-07
FD-00153,April Baker,Bronce,302,5% descuento en snacks,2025-08-12
FD-00154,William Abbott,Plata,1092,10% en bebidas y envíos gratis,2025-05-25
FD-00155,Aaron Howard,Plata,4379,10% en bebidas y envíos gratis,2025-05-26
FD-00156,Alexander Cruz,Bronce,3399,5% descuento en snacks,2025-07-04
FD-00157,Joseph Wilkerson,Bronce,4032,5% descuento en snacks,2025-06-12
FD-00158,John Wolfe,Oro,3923,15% en todo + acceso anticipado,2025-08-22
FD-00159,Paul Ayers,Plata,4675,10% en bebidas y envíos gratis,2025-07-01
FD-00160,Lori Scott,Bronce,1147,5% descuento en snacks,2025-06-21
FD-00161,Michael Black,Bronce,1163,5% descuento en snacks,2025-08-18
FD-00162,Courtney Lee,Bronce,1405,5% descuento en snacks,2025-06-15
FD-00163,Angel James,Bronce,2392,5% descuento en snacks,2025-07-26
FD-00164,Marissa Hall,Plata,585,10% en bebidas y envíos gratis,2025-08-09
FD-00165,Cassandra Shepherd PhD,Plata,4397,10% en bebidas y envíos gratis,2025-08-19
FD-00166,Cynthia Wilson,Bronce,745,5% descuento en snacks,2025-07-21
FD-00167,Cody Mendez,Platino,2678,20% en todo + regalos exclusivos,2025-08-18
FD-00168,Elizabeth Mcdaniel,Bronce,1234,5% descuento en snacks,2025-06-11
FD-00169,Margaret Baldwin,Bronce,1450,5% descuento en snacks,2025-06-25
FD-00170,Victoria Aguilar,Bronce,2979,5% descuento en snacks,2025-07-11
FD-00171,Erik Gomez,Plata,1357,10% en bebidas y envíos gratis,2025-06-09
FD-00172,Michelle Washington,Plata,2150,10% en bebidas y envíos gratis,2025-05-24
FD-00173,Tiffany Williams,Oro,4701,15% en todo + acceso anticipado,2025-06-27
FD-00174,Jacqueline Chandler,Plata,3244,10% en bebidas y envíos gratis,2025-06-03
FD-00175,Greg Stewart,Bronce,876,5% descuento en snacks,2025-06-07
FD-00176,Kenneth Baker,Oro,255,15% en todo + acceso anticipado,2025-07-17
FD-00177,Brad Rubio,Plata,261,10% en bebidas y envíos gratis,2025-08-21
FD-00178,Kenneth Luna,Bronce,2762,5% descuento en snacks,2025-07-29
FD-00179,Richard Montgomery,Plata,1293,10% en bebidas y envíos gratis,2025-05-29
FD-00180,Jeffrey Paul,Bronce,1162,5% descuento en snacks,2025-06-23
FD-00181,Mackenzie Jacobs,Oro,921,15% en todo + acceso anticipado,2025-07-05
FD-00182,Julie Knight,Plata,905,10% en bebidas y envíos gratis,2025-07-18
FD-00183,Rebecca Martinez,Oro,3480,15% en todo + acceso anticipado,2025-06-18
FD-00184,Katie Martinez,Bronce,4807,5% descuento en snacks,2025-06-14
FD-00185,Maria Rodriguez,Bronce,2594,5% descuento en snacks,2025-07-08
FD-00186,Sarah Johnson,Bronce,3714,5% descuento en snacks,2025-07-26
FD-00187,Crystal Hughes,Plata,3615,10% en bebidas y envíos gratis,2025-07-24
FD-00188,Jason Reynolds,Bronce,3351,5% descuento en snacks,2025-07-21
FD-00189,Jimmy Anderson,Oro,3549,15% en todo + acceso anticipado,2025-06-29
FD-00190,Steven Love,Bronce,3271,5% descuento en snacks,2025-07-03
FD-00191,Amy Crawford,Plata,1122,10% en bebidas y envíos gratis,2025-07-12
FD-00192,Nathan Price,Oro,3658,15% en todo + acceso anticipado,2025-08-20
FD-00193,Karen Boyd,Plata,2029,10% en bebidas y envíos gratis,2025-08-05
FD-00194,Susan Morales,Bronce,3345,5% descuento en snacks,2025-08-09
FD-00195,Debra Warren,Plata,4738,10% en bebidas y envíos gratis,2025-07-30
