reseña_id,venta_id,client_id,puntuacion,comentario,fecha_reseña
RS-00001,C-002599,Joshua Berry,3,"Muy buen producto, llegó rápido.",2025-07-12
RS-00002,C-003908,Jerry Clark,2,No era lo que esperaba.,2025-07-31
RS-00003,C-000648,Katie Holt,5,No era lo que esperaba.,2025-08-10
RS-00004,C-002384,Amy Smith,5,El embalaje estaba dañado.,2025-08-07
RS-00005,C-001414,John Lyons,5,Volveré a comprar sin duda.,2025-08-11
RS-00006,C-002414,Mrs. Amanda Medina,1,No era lo que esperaba.,2025-08-09
RS-00007,C-000077,Carrie Saunders,1,Excelente atención al cliente.,2025-08-12
RS-00008,C-001914,Marie Jensen,3,Precio justo y buena calidad.,2025-08-14
RS-00009,C-003145,Tara Gray,5,Volveré a comprar sin duda.,2025-07-22
RS-00010,C-001640,Lisa Gonzalez,2,Precio justo y buena calidad.,2025-07-24
RS-00011,C-000549,Rachel White,4,Tuve problemas con la entrega.,2025-08-07
RS-00012,C-001379,Anthony Thompson,1,Tuve problemas con la entrega.,2025-06-28
RS-00013,C-003335,Victoria Smith,4,El embalaje estaba dañado.,2025-07-19
RS-00014,C-004908,Jennifer Hughes,1,Excelente atención al cliente.,2025-08-15
RS-00015,C-003606,Jason Alvarez,3,Volveré a comprar sin duda.,2025-08-19
RS-00016,C-003763,Amanda Lee,4,No era lo que esperaba.,2025-08-14
RS-00017,C-004376,Steven Anderson,5,"Todo perfecto, gracias.",2025-07-18
RS-00018,C-002162,Sherry Wheeler,5,No era lo que esperaba.,2025-07-20
RS-00019,C-000135,Keith Miller,2,La talla no era correcta.,2025-08-22
RS-00020,C-000487,Kenneth Graham,4,Precio justo y buena calidad.,2025-08-19
RS-00021,C-001967,Carla Blake,3,Precio justo y buena calidad.,2025-07-04
RS-00022,C-001499,Carlos Reynolds,4,La talla no era correcta.,2025-08-11
RS-00023,C-004351,William Carroll,3,"Todo perfecto, gracias.",2025-07-12
RS-00024,C-004966,Mikayla Marshall,4,Tuve problemas con la entrega.,2025-07-22
RS-00025,C-003573,Shannon Bauer,3,"Todo perfecto, gracias.",2025-08-03
RS-00026,C-001996,Carolyn Alexander,3,Tuve problemas con la entrega.,2025-07-18
RS-00027,C-001473,Scott Hudson,5,"Muy buen producto, llegó rápido.",2025-08-05
RS-00028,C-003492,Richard Lewis,4,No era lo que esperaba.,2025-07-11
RS-00029,C-004092,Garrett Adams,5,Volveré a comprar sin duda.,2025-07-29
RS-00030,C-000074,Dylan Alvarado,4,"Me encantó, lo recomiendo.",2025-06-15
RS-00031,C-003380,Lori Palmer,2,Excelente atención al cliente.,2025-08-12
RS-00032,C-001876,Dana Hoover,5,"Me encantó, lo recomiendo.",2025-08-19
RS-00033,C-002562,Antonio Hanna,3,El embalaje estaba dañado.,2025-08-19
RS-00034,C-002089,Kimberly Miller,4,Precio justo y buena calidad.,2025-07-05
RS-00035,C-002029,Monica Taylor,3,Precio justo y buena calidad.,2025-07-29
RS-00036,C-002487,Brent May,3,"Me encantó, lo recomiendo.",2025-08-20
RS-00037,C-000223,Charles Snow,4,"Muy buen producto, llegó rápido.",2025-08-17
RS-00038,C-000441,Wendy Randolph,4,Volveré a comprar sin duda.,2025-08-05
RS-00039,C-000393,Christina Woods,4,La talla no era correcta.,2025-07-13
RS-00040,C-004258,Robin Decker,3,"Todo perfecto, gracias.",2025-08-14
RS-00041,C-000990,Jeffrey Morris,5,Precio justo y buena calidad.,2025-08-11
RS-00042,C-002045,Vincent Good,5,"Muy buen producto, llegó rápido.",2025-08-19
RS-00043,C-004869,Pamela Monroe,5,Tuve problemas con la entrega.,2025-08-18
RS-00044,C-000968,Joseph Oneal,3,La talla no era correcta.,2025-08-04
